item_id,persona_id,question_type,gold_key,llama_t0_pred,qwen_t0_pred,llama_t0_raw,qwen_t0_raw,llama_t0_bucket,qwen_t0_bucket,item_default_bucket,unstable_any,parse_status
acd74206-37dc-4756-94a8-b99a395d9a21,0,user_shared_fact_recall,c,b,b,b,b,error,error,strict_default_error,,valid
f546a74f-54de-40d0-9d88-8b0e30467d7b,0,preference_aligned_recommendation,d,b,a,b,a,error,error,strict_default_error,,valid
5370f186-0028-41f4-b436-c48575899fca,0,idea_suggestion,b,a,a,a,a,error,error,strict_default_error,,valid
a40d5f67-8ec6-480b-a901-9709eecee9b9,0,preference_update_reason_recall,d,a,a,(a),a,error,error,strict_default_error,,valid
fd81b480-5723-43fe-9fb1-d3efa0df8e49,0,user_shared_fact_recall,b,d,d,d,d,error,error,strict_default_error,,valid
c8a763a5-a7ae-4047-b1cf-f17204fd1f7d,0,idea_suggestion,b,a,a,a,a,error,error,strict_default_error,,valid
ce9c7c39-c600-4971-9a7d-51a46e6c915c,0,idea_suggestion,b,c,a,c,a,error,error,strict_default_error,,valid
217481b7-ad97-45d8-988f-abb3f9cf9b34,0,preference_update_reason_recall,c,a,a,(a),a,error,error,strict_default_error,,valid
b4812983-2c33-48ae-8955-1a19f78f7f54,0,user_shared_fact_recall,b,a,a,a,a,error,error,strict_default_error,,valid
c2d3daad-6d3b-4852-8830-39f830f6cd01,1,user_shared_fact_recall,b,d,d,d,d,error,error,strict_default_error,,valid
96589b76-f0fa-4214-a110-c6f13ef15e83,1,idea_suggestion,b,d,a,d,a,error,error,strict_default_error,,valid
2b3ce0bd-d0c2-48e3-8cd8-564905e9fe64,1,preference_aligned_recommendation,c,a,a,a,a,error,error,strict_default_error,,valid
d71b360e-da59-480b-823e-a83e8c320b9c,1,scenario_generalization,c,b,a,(b),a,error,error,strict_default_error,,valid
7957ef21-86bb-4641-8a06-4ee2272f1c32,1,preference_update_reason_recall,d,a,c,a,c,error,error,strict_default_error,,valid
7a4ed201-4f7e-4d9c-a3f3-c5a2b8d424b3,1,user_shared_fact_recall,c,a,a,a,a,error,error,strict_default_error,,valid
32b03409-0710-4afd-89c1-9af72c339b4c,1,scenario_generalization,d,b,b,(b),b,error,error,strict_default_error,,valid
346a304a-4371-46ac-a8f7-021f25812b52,1,scenario_generalization,c,a,a,a,a,error,error,strict_default_error,,valid
221c8369-8ac4-447e-a13c-6088536f9abf,1,preference_update_reason_recall,d,a,a,a,a,error,error,strict_default_error,,valid
4ca0a992-6743-4369-95b6-920712f8ef8b,1,preference_evolution_tracking,c,a,a,(a),a,error,error,strict_default_error,,valid
f04613eb-8eff-4a4c-a191-d2574c87e67b,1,preference_evolution_tracking,c,a,b,(a),b,error,error,strict_default_error,,valid
002e8df3-cebf-4197-8c16-cb834cc13aef,1,preference_evolution_tracking,c,a,a,a,a,error,error,strict_default_error,,valid
d90cadc8-e635-462b-8251-7f8a10734376,1,user_shared_fact_recall,d,c,c,c,c,error,error,strict_default_error,,valid
6c4bc600-04c0-41be-841a-a1e149edd522,1,preference_aligned_recommendation,d,a,a,a,a,error,error,strict_default_error,,valid
2a69f556-c093-4bc3-aa4a-a5acaaec3801,1,scenario_generalization,c,a,a,(a),a,error,error,strict_default_error,,valid
c7c87a80-78e5-47d8-a068-2bfd244868f1,1,preference_update_reason_recall,b,a,c,a,c,error,error,strict_default_error,,valid
66ce550d-37a1-43e5-ab56-0b6864d8cbaf,1,scenario_generalization,b,a,a,a,a,error,error,strict_default_error,,valid
34e7e867-7730-4bb9-9dcf-bc5a93389b3a,1,scenario_generalization,c,b,a,b,a,error,error,strict_default_error,,valid
08430f6d-ada1-46a7-8f15-ddc466ba8a5b,1,idea_suggestion,b,a,a,a,a,error,error,strict_default_error,,valid
394bc68d-a4b3-415c-a7d9-6b367fe44e25,1,user_shared_fact_recall,c,a,a,a,a,error,error,strict_default_error,,valid
f7be271f-8ee6-4250-ba76-2a72e50623fc,1,scenario_generalization,b,a,d,a,d,error,error,strict_default_error,,valid
e3d97461-ec4b-471f-a3f3-e595fdba27e5,1,scenario_generalization,d,a,a,a,a,error,error,strict_default_error,,valid
9c209ff7-a6a8-48d8-ab38-e0b8aa2aaef7,3,user_shared_fact_recall,d,b,b,b,b,error,error,strict_default_error,,valid
945fb104-45bd-457f-a9a8-19620159e47d,3,preference_aligned_recommendation,c,b,b,b,b,error,error,strict_default_error,,valid
b51ec779-8dcc-4cef-860e-d9c3a6c622a6,3,idea_suggestion,b,d,a,d,a,error,error,strict_default_error,,valid
5547721c-f72d-41cf-bfb5-65757d11807b,3,preference_evolution_tracking,b,a,a,(a),a,error,error,strict_default_error,,valid
a343bbd4-e356-41e0-886c-663304809410,3,preference_evolution_tracking,c,a,a,(a),a,error,error,strict_default_error,,valid
8f6defba-992d-45f1-9a7d-dded76e6e5d5,3,user_shared_fact_recall,d,c,c,c,c,error,error,strict_default_error,,valid
0874afed-abd8-485c-b509-c06843a937cc,3,preference_aligned_recommendation,d,c,c,c,c,error,error,strict_default_error,,valid
c780b296-860d-4032-8580-154286255c00,3,idea_suggestion,b,d,a,d,a,error,error,strict_default_error,,valid
5b19b568-0c8f-43ac-8fdc-7f0ce67604e5,3,user_shared_fact_recall,d,a,a,a,a,error,error,strict_default_error,,valid
