item_id,pool,question_type,condition,candidate_response,judge_verdict,judge_rationale,review_priority,human_verdict,human_notes
28bcfaac,floor_leak_excluded,single-session-assistant,noev,I recommended musictheory.net for free lessons and exercises.,correct,"The candidate response accurately states that MusicTheory.net is the website recommended for free lessons and exercises, which is directly supported by the evidence.",TIER1_floor_leak_world_knowledge,PASS_FOR_EXCLUSION,"Sheet-level review: noev/oracle/full all judged correct for musictheory.net; supports excluding 28bcfaac as floor-leak, not counting it in sufficiency headline. True source-level check still requires original question/evidence/gold packet."
28bcfaac,floor_leak_excluded,single-session-assistant,oracle,MusicTheory.net,correct,"The candidate response 'MusicTheory.net' is directly supported by the evidence, which states that this website offers free lessons and exercises on music theory.",TIER1_floor_leak_world_knowledge,PASS_FOR_EXCLUSION,"Sheet-level review: noev/oracle/full all judged correct for musictheory.net; supports excluding 28bcfaac as floor-leak, not counting it in sufficiency headline. True source-level check still requires original question/evidence/gold packet."
28bcfaac,floor_leak_excluded,single-session-assistant,full,MusicTheory.net,correct,"The candidate response 'MusicTheory.net' is directly supported by the evidence, which states that this website offers free lessons and exercises on music theory.",TIER1_floor_leak_world_knowledge,PASS_FOR_EXCLUSION,"Sheet-level review: noev/oracle/full all judged correct for musictheory.net; supports excluding 28bcfaac as floor-leak, not counting it in sufficiency headline. True source-level check still requires original question/evidence/gold packet."
0862e8bf,main_sufficiency_pool,single-session-user,oracle,Luna,correct,"The candidate response 'Luna' is directly supported by the evidence, which states that the user's cat's name is Luna.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
16c90bf4,main_sufficiency_pool,single-session-assistant,oracle,A pilsner or lager would work well.,correct,"The candidate response specifies 'a pilsner or lager,' which is directly supported by the evidence that recommends these types of beer for the recipe.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
1903aded,main_sufficiency_pool,single-session-assistant,oracle,Transcriptionist,correct,The candidate response 'Transcriptionist' matches the 7th job listed in the provided evidence.,TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
1b9b7252,main_sufficiency_pool,single-session-assistant,oracle,Mindful.org,correct,"The candidate response 'Mindful.org' is supported by the evidence, which states that this website includes guided imagery exercises such as 'The Mountain Meditation' and 'The Body Scan Meditation.'",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
1e043500,main_sufficiency_pool,single-session-user,oracle,Summer Vibes,correct,The candidate response 'Summer Vibes' matches the name of the playlist mentioned in the evidence.,TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
2bf43736,main_sufficiency_pool,single-session-assistant,oracle,"Chapter 4 of Book 1, titled ""Vocal Prayer and Meditation.""",correct,"The candidate response accurately states that Chapter 4 of Book 1 discusses vocal prayer and meditation, which is supported by the evidence provided.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
311778f1,main_sufficiency_pool,single-session-user,oracle,10 hours,correct,The candidate response of '10 hours' directly matches the evidence that states the user spent '10 hours last month watching documentaries.',TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
3d86fd0a,main_sufficiency_pool,single-session-user,oracle,A coffee shop in the city.,correct,The candidate response 'A coffee shop in the city' directly matches the information provided in the evidence about where the user met Sophia.,TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
488d3006,main_sufficiency_pool,single-session-assistant,oracle,GR-90,correct,"The candidate response 'GR-90' is the name of the hiking trail recommended in the evidence, which takes you through the park's most stunning landscapes and offers panoramic views.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
58bf7951,main_sufficiency_pool,single-session-user,oracle,The Glass Menagerie,correct,"The candidate response states the play 'The Glass Menagerie,' which is directly supported by the evidence provided.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
6ae235be,main_sufficiency_pool,single-session-assistant,oracle,"The Lake Charles Refinery uses atmospheric distillation, fluid catalytic cracking (FCC), alkylation, and hydrotreating.",correct,"The candidate response accurately lists the refining processes used at the Lake Charles Refinery as stated in the evidence: atmospheric distillation, fluid catalytic cracking (FCC), alkylation, and hydrotreating.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
7a8d0b71,main_sufficiency_pool,single-session-assistant,oracle,"$2,000",correct,"$2,000 is the exact amount allocated for influencer marketing in the campaign plan as stated in the evidence.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
86b68151,main_sufficiency_pool,single-session-user,oracle,IKEA,correct,"The candidate response 'IKEA' accurately reflects the information provided in the evidence, which states that the new bookshelf is from IKEA.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
ad7109d1,main_sufficiency_pool,single-session-user,oracle,500 Mbps,correct,The candidate response '500 Mbps' accurately reflects the internet speed mentioned in the evidence.,TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
b86304ba,main_sufficiency_pool,single-session-user,oracle,Triple the amount you paid for it.,correct,"The candidate response accurately states that the painting of a sunset is worth triple the amount paid for it, which is directly supported by the evidence provided.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
bc8a6e93,main_sufficiency_pool,single-session-user,oracle,A lemon blueberry cake.,correct,"The candidate response accurately states that the user baked a lemon blueberry cake for their niece's birthday party, which is directly supported by the evidence.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
c14c00dd,main_sufficiency_pool,single-session-user,oracle,Trader Joe's lavender scented shampoo.,correct,"The candidate response accurately states the brand and type of shampoo mentioned in the evidence, which is 'lavender scented shampoo that I picked up on a whim at Trader Joe's'.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
caf9ead2,main_sufficiency_pool,single-session-user,oracle,It took around 5 hours to move to the new apartment.,correct,"The candidate response accurately states that it took around 5 hours to move to the new apartment, which is directly supported by the evidence provided.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
e9327a54,main_sufficiency_pool,single-session-assistant,oracle,The Sugar Factory,correct,"The candidate response 'The Sugar Factory' is supported by the evidence, which mentions it as a dessert shop that offers giant milkshakes.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_PASS,"Sheet-level review: oracle candidate is a short exact answer and judge rationale states direct evidence support. No source/gold/evidence columns are present, so this is not an independent human adjudication."
07b6f563,preference_exploratory,single-session-preference,oracle,Consider a high-quality screen protector and a durable wallet case for your iPhone 13 Pro.,correct,"The candidate response suggests a high-quality screen protector and a durable wallet case, which aligns with the user's request for recommendations for these specific accessories for their iPhone 13 Pro.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_WEAK_PASS,"Sheet-level review: oracle response aligns with evidence per judge rationale, but preference items are weaker because correctness depends on matching recommendation scope rather than exact factual recall. Keep exploratory, not headline."
a89d7624,preference_exploratory,single-session-preference,oracle,"Explore the music scene, visit local venues, and check out festivals.",correct,"The candidate response suggests exploring the music scene, visiting local venues, and checking out festivals, which aligns with the user's expressed interest in Denver's music scene and their inquiry about music venues and festivals.",TIER1_oracle_correct_ceiling_check,PROVISIONAL_WEAK_PASS,"Sheet-level review: oracle response aligns with evidence per judge rationale, but preference items are weaker because correctness depends on matching recommendation scope rather than exact factual recall. Keep exploratory, not headline."
0862e8bf,main_sufficiency_pool,single-session-user,noev,The name of your cat is not provided in the context.,incorrect,"The evidence clearly states that the cat's name is Luna, which contradicts the candidate response that claims the name is not provided.",,CONSISTENT_WITH_FLOOR_ZERO,Sheet-level review: noev response either withholds answer or gives a different unsupported answer; consistent with floor=0/19 after excluding 28bcfaac. Not source-independent.
