"question_id","question_type","excluded_as_ku","is_abstention","n_evidence_sessions","n_has_answer_turns","target_determinacy_flag","target_determinacy_reason","single_source_localizable_flag","localizable_reason","evidence_session_id","evidence_turn_indices","determinacy_filter_pass"
"001be529","single-session-user","False","False","1","1","True","","True","","answer_530960c1","[4]","True"
"00ca467f","multi-session","False","False","3","2","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"0100672e","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"01493427","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"031748ae","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"031748ae_abs","knowledge-update","True","True","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"06878be2","single-session-preference","False","False","1","3","True","","True","","answer_555dfb94","[0, 8, 14]","True"
"06db6396","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"06f04340","single-session-preference","False","False","1","1","True","","True","","answer_92d5f7cd","[4]","True"
"07741c44","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"07741c45","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"078150f1","multi-session","False","False","2","3","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"07b6f563","single-session-preference","False","False","1","2","True","","True","","answer_d03098f9","[0, 2]","True"
"0862e8bf","single-session-user","False","False","1","1","True","","True","","answer_c6fd8ebd","[10]","True"
"0862e8bf_abs","single-session-user","False","True","1","0","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","no has_answer turn found within the single evidence session","","[]","False"
"08e075c7","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"08f4fc43","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"0977f2af","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"099778bb","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"09ba9854","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"09ba9854_abs","multi-session","False","True","2","1","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","evidence spans 2 sessions, not 1","","[]","False"
"09d032c9","single-session-preference","False","False","1","1","True","","True","","answer_b10dce5e","[0]","True"
"0a34ad58","single-session-preference","False","False","1","2","True","","True","","answer_cebb7159","[2, 6]","True"
"0a995998","multi-session","False","False","3","3","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"0bb5a684","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"0bc8ad92","temporal-reasoning","False","False","3","3","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"0bc8ad93","temporal-reasoning","False","False","3","1","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"0db4c65d","temporal-reasoning","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"0ddfec37","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"0ddfec37_abs","knowledge-update","True","True","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"0e4e4c46","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"0e5e2d1a","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_113156","[3]","True"
"0ea62687","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"0edc2aef","single-session-preference","False","False","1","1","True","","True","","answer_d586e9cd","[2]","True"
"0f05491a","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"10d9b85a","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"10e09553","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"118b2229","single-session-user","False","False","1","1","True","","True","","answer_40a90d51","[8]","True"
"1192316e","multi-session","False","False","2","2","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"129d1232","multi-session","False","False","3","3","True","","False","evidence spans 3 sessions, not 1","","[]","False"
"1568498a","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_d6JJiqH_76","[19]","True"
"15745da0","single-session-user","False","False","1","1","True","","True","","answer_586de428","[4]","True"
"15745da0_abs","single-session-user","False","True","1","0","False","abstention item: gold target is 'insufficient information', not a positive fact to audit for evidence sufficiency","False","no has_answer turn found within the single evidence session","","[]","False"
"157a136e","multi-session","False","False","2","3","True","","False","evidence spans 2 sessions, not 1","","[]","False"
"16c90bf4","single-session-assistant","False","False","1","1","True","","True","","answer_ultrachat_294807","[3]","True"
"184da446","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"18bc8abd","knowledge-update","True","False","2","","False","excluded: knowledge-update (competing old/new values; CLAUDE.md invariant)","False","excluded: knowledge-update","","[]","False"
"18dcd5a5","single-session-assistant","False","False","1","1","True","","True","","answer_sharegpt_hn3IS1q_0","[1]","True"
